ds,yhat
2023-04-08,60.50297018858084
2023-04-09,59.76171521246433
2023-04-10,60.772470962249216
2023-04-11,59.3862257466545
2023-04-12,60.59382261448121
2023-04-13,60.099238151620675
2023-04-14,60.70285669045731
2023-04-15,61.19402299915469
2023-04-16,60.452768023040626
2023-04-17,61.46352377271971
2023-04-18,60.077278557020115
2023-04-19,61.28487542474096
2023-04-20,60.79029096177234
2023-04-21,61.39390950051024
2023-04-22,61.8850758091035
2023-04-23,61.14382083287847
2023-04-24,62.154576582558825
2023-04-25,60.76833136685826
2023-04-26,61.97592823457797
2023-04-27,61.481343771611506
2023-04-28,62.084962309553006
2023-04-29,62.57612861734011
2023-04-30,61.83487364031868
2023-05-01,62.8456293891998
2023-05-02,61.45938417270031
2023-05-03,62.666981039621334
2023-05-04,62.17239657585662
2023-05-05,62.776015113792326
2023-05-06,63.267181421586045
2023-05-07,62.52592644456578
2023-05-08,63.53668219344478
2023-05-09,62.15043697694434
2023-05-10,63.35803384226031
2023-05-11,62.863449376886074
2023-05-12,63.467067913216106
2023-05-13,63.95823421939873
2023-05-14,63.21697924076839
2023-05-15,64.22773498804098
2023-05-16,62.841489769932274
2023-05-17,64.04908663524355
2023-05-18,63.55450216986975
2023-05-19,64.15812070620193
2023-05-20,64.64928701238634
2023-05-21,63.90803203375731
2023-05-22,64.9187877803201
2023-05-23,63.532542561502716
2023-05-24,64.74013942610956
2023-05-25,64.24555496002687
2023-05-26,64.84917349564853
2023-05-27,65.3403398011279
2023-05-28,64.59908482178648
2023-05-29,65.60984056835196
2023-05-30,64.22359534953738
2023-05-31,65.43119221414142
2023-06-01,64.93660774805663
2023-06-02,65.5402262831654
2023-06-03,66.03139258813167
2023-06-04,65.29013760827634
2023-06-05,66.30089335432466
2023-06-06,64.91464813499408
2023-06-07,66.1222449990834
2023-06-08,65.62766053248953
2023-06-09,66.231279067592
2023-06-10,66.72244537255595
2023-06-11,65.98119039270371
2023-06-12,66.9919461387512
2023-06-13,65.60570091942174
2023-06-14,66.81329778343462
2023-06-15,66.3187133167625
2023-06-16,66.92233185179066
2023-06-17,67.4134981566773
2023-06-18,66.67224317675178
2023-06-19,67.6829989227254
2023-06-20,66.29675370331925
2023-06-21,67.50435056733434
2023-06-22,67.00976610066006
2023-06-23,67.6133846356918
2023-06-24,68.10455094057568
2023-06-25,67.3632959606484
2023-06-26,68.37405170717778
2023-06-27,66.98780648832509
2023-06-28,68.19540335289564
2023-06-29,67.70081888677402
2023-06-30,68.30443742235286
2023-07-01,68.79560372779721
2023-07-02,68.05434874842496
2023-07-03,69.06510449495222
2023-07-04,67.67885927609856
2023-07-05,68.88645614066944
2023-07-06,68.39187167454955
2023-07-07,68.99549020892
2023-07-08,69.48665651315042
2023-07-09,68.74540153256847
2023-07-10,69.75615727788156
2023-07-11,68.36991205781909
2023-07-12,69.5775089211772
2023-07-13,69.08292445384704
2023-07-14,69.6865429882164
2023-07-15,70.17770929244453
2023-07-16,69.43645431186502
2023-07-17,70.44721005717894
2023-07-18,69.06096483711549
2023-07-19,70.26856169870815
2023-07-20,69.77397722961481
2023-07-21,70.37759576222143
2023-07-22,70.86876206468567
2023-07-23,70.12750708232957
2023-07-24,71.13826282588529
2023-07-25,69.75201760405551
2023-07-26,70.95961446565038
2023-07-27,70.4650299965516
2023-07-28,71.06864852916038
2023-07-29,71.55981483162232
2023-07-30,70.81855984927161
2023-07-31,71.82931559333223
2023-08-01,70.44307037200852
2023-08-02,71.65066723410781
2023-08-03,71.15608276552493
2023-08-04,71.75970129863367
2023-08-05,72.25086760160526
2023-08-06,71.50961261976275
2023-08-07,72.52036836382022
2023-08-08,71.13412314249763
2023-08-09,72.3417200045987
2023-08-10,71.84713553601082
2023-08-11,72.45075406711051
2023-08-12,72.94192036806855
2023-08-13,72.20066538421725
2023-08-14,73.21142112626534
2023-08-15,71.82517590293115
2023-08-16,73.03277276301674
2023-08-17,72.53818829241806
2023-08-18,73.14180682352455
2023-08-19,73.63297312447983
2023-08-20,72.8917181406303
2023-08-21,73.90247388267464
2023-08-22,72.51622865934158
2023-08-23,73.72382551867427
2023-08-24,73.2292410473193
2023-08-25,73.83285957766395
2023-08-26,74.32402587787485
2023-08-27,73.58277089326145
2023-08-28,74.5935266345534
2023-08-29,73.20728141046534
2023-08-30,74.41487826979836
2023-08-31,73.92029379843993
2023-09-01,74.5239123287924
2023-09-02,75.01507862900051
2023-09-03,74.27382364413576
2023-09-04,75.28457938517305
2023-09-05,73.89833416083418
2023-09-06,75.1059310199123
2023-09-07,74.61134654830725
2023-09-08,75.2149650784056
2023-09-09,75.70613137835417
2023-09-10,74.96487639349185
2023-09-11,75.97563213453
2023-09-12,74.58938691019017
2023-09-13,75.79698376926859
2023-09-14,75.30239929766107
2023-09-15,75.90601782748446
2023-09-16,76.39718412715776
2023-09-17,75.65592914201675
2023-09-18,76.66668488277969
2023-09-19,75.28043965816285
2023-09-20,76.48803651696537
2023-09-21,75.99345204507955
2023-09-22,76.59707057490014
2023-09-23,77.08823687457188
2023-09-24,76.34698188943334
2023-09-25,77.35773763019603
2023-09-26,75.97149240557927
2023-09-27,77.17908926646892
2023-09-28,76.68450479667246
2023-09-29,77.2881233285735
2023-09-30,77.77928963034326
2023-10-01,77.03803464728885
2023-10-02,78.04879039013665
2023-10-03,76.66254516760614
2023-10-04,77.87014202849903
2023-10-05,77.3755575587014
2023-10-06,77.97917609060504
2023-10-07,78.47034239236781
2023-10-08,77.72908740795782
2023-10-09,78.73984314944825
2023-10-10,77.35359792555916
2023-10-11,78.56119478508873
2023-10-12,78.06661031393286
2023-10-13,78.67022884447928
2023-10-14,79.16139514488185
2023-10-15,78.42014016047726
2023-10-16,79.4308959019656
2023-10-17,78.04465067807554
2023-10-18,79.25224753760837
2023-10-19,78.75766306645454
2023-10-20,79.36128159459535
2023-10-21,79.85244789259438
2023-10-22,79.1111929057759
2023-10-23,80.12194864486301
2023-10-24,78.73570341856863
2023-10-25,79.94330027569808
2023-10-26,79.44871580213386
2023-10-27,80.05233433027682
2023-10-28,80.54350062827355
2023-10-29,79.80224564146044
2023-10-30,80.81300138054544
2023-10-31,79.42675615425011
2023-11-01,80.63435301137697
2023-11-02,80.13976853782162
2023-11-03,80.74338706595829
2023-11-04,81.2345533639568
2023-11-05,80.49329837713975
2023-11-06,81.50405411622684
2023-11-07,80.11780888993265
2023-11-08,81.32540574706171
2023-11-09,80.83082127349996
2023-11-10,81.43443980163977
2023-11-11,81.92560609963596
2023-11-12,81.1843511128243
2023-11-13,82.19510685191032
2023-11-14,80.80886162561518
2023-11-15,82.0164584827431
2023-11-16,81.5218740091835
2023-11-17,82.12549253732591
2023-11-18,82.61665883531934
2023-11-19,81.87540384850885
2023-11-20,82.8861595875928
2023-11-21,81.49991436129771
2023-11-22,82.7075112184249
2023-11-23,82.21292674486283
2023-11-24,82.8165452730027
2023-11-25,83.30771157100274
2023-11-26,82.56645658418755
2023-11-27,83.57721232327523
2023-11-28,82.1909670969792
2023-11-29,83.39856395410672
2023-11-30,82.90397948054212
2023-12-01,83.50759800868812
2023-12-02,83.99876430669022
2023-12-03,83.25750931987211
2023-12-04,84.26826505895663
2023-12-05,82.88201983266276
2023-12-06,84.08961668978812
2023-12-07,83.5950322162299
2023-12-08,84.19865074436959
2023-12-09,84.68981704236938
2023-12-10,83.94856205555374
2023-12-11,84.95931779463804
2023-12-12,83.57307256834487
2023-12-13,84.78066942546991
2023-12-14,84.28608495190922
2023-12-15,84.88970348005573
2023-12-16,85.38086977805277
2023-12-17,84.63961479123597
2023-12-18,85.65037053032152
2023-12-19,84.26412530402844
2023-12-20,85.47172216115466
2023-12-21,84.97713768759276
2023-12-22,85.5807562157419
2023-12-23,86.07192251373192
2023-12-24,85.33066752691758
2023-12-25,86.34142326600293
2023-12-26,84.95517803970993
2023-12-27,86.16277489683647
2023-12-28,85.66819042327532
2023-12-29,86.27180895141868
2023-12-30,86.76297524941954
2023-12-31,86.02172026260214
2024-01-01,87.03247600168538
2024-01-02,85.64623077539306
2024-01-03,86.8538276325212
2024-01-04,86.35924315895888
2024-01-05,86.96286168709472
2024-01-06,87.4540279850987
2024-01-07,86.71277299828375
2024-01-08,87.7235287373689
2024-01-09,86.3372835110756
2024-01-10,87.54488036820008
2024-01-11,87.05029589463818
2024-01-12,87.65391442278089
2024-01-13,88.14508072078196
2024-01-14,87.4038257339683
2024-01-15,88.41458147305134
2024-01-16,87.02833624675813
2024-01-17,88.23593310388483
2024-01-18,87.74134863032172
2024-01-19,88.34496715846704
2024-01-20,88.83613345646536
2024-01-21,88.09487846964701
2024-01-22,89.1056342087338
2024-01-23,87.7193889824396
2024-01-24,88.92698583956621
2024-01-25,88.43240136600103
2024-01-26,89.0360198941485
2024-01-27,89.52718619214873
2024-01-28,88.78593120533156
2024-01-29,89.7966869444173
2024-01-30,88.41044171812108
